p_felony_count_person,p_misdem_count_person,p_charge_violent,p_current_age,p_age_first_offense,p_juv_fel_count,p_felprop_violarrest,p_murder_arrest,p_felassault_arrest,p_misdemassault_arrest,p_famviol_arrest,p_sex_arrest,p_weapons_arrest,p_n_on_probation,p_current_on_probation,p_prob_revoke,p_charge,p_arrest,p_jail30,p_prison30,p_prison,p_probation,recid
8,11,6,28,19,0,2,0,2,2,0,0,0,0,NA,0,19,29,0,1,1,0,1
0,1,0,64,60,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
2,4,1,50,47,0,1,0,0,0,0,0,0,0,1,0,6,13,0,0,0,2,0
0,0,0,33,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,20,18,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1
0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,14,2,22,16,1,0,0,0,1,0,0,0,5,NA,0,16,19,0,0,0,0,1
0,0,0,43,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,19,17,2,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1
2,1,0,21,19,0,0,0,0,0,0,0,1,0,NA,0,3,3,0,0,0,0,1
6,5,4,52,24,0,2,0,1,1,0,0,0,0,0,0,11,8,1,6,6,0,0
2,3,1,38,32,0,1,0,0,0,0,0,0,0,NA,0,5,3,0,0,0,0,0
5,15,2,23,18,0,1,0,0,1,0,0,0,0,0,0,20,28,0,0,0,0,0
0,1,0,32,32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6,9,1,34,21,0,1,0,0,0,0,0,0,3,0,1,15,24,0,1,1,2,1
0,11,1,23,20,0,0,0,0,1,0,0,0,5,0,0,11,9,0,0,0,1,1
0,1,0,18,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,29,14,0,0,0,1,1,0,0,1,6,0,0,13,19,0,0,0,2,0
1,16,3,23,18,0,0,0,0,2,0,0,1,4,0,0,17,15,0,0,0,2,1
10,16,3,68,46,0,0,0,3,0,0,0,0,0,0,0,26,39,0,0,0,0,0
1,5,3,33,30,0,0,0,0,1,0,0,1,0,0,0,6,12,0,0,0,2,0
0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,36,32,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
1,13,0,64,58,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0
0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,22,21,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1
0,1,0,28,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,1,31,20,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0
10,7,8,21,15,0,6,0,0,0,0,0,1,0,0,0,18,22,0,1,1,2,1
0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,36,33,0,0,0,1,1,0,0,0,0,1,0,2,3,0,0,0,1,0
15,12,9,57,21,0,2,0,5,1,0,0,0,0,NA,NA,30,37,2,2,3,0,1
0,10,0,33,21,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,4,0
0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,20,14,1,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,2,0
0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,18,18,0,2,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,1
6,2,3,18,18,0,3,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,1
0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,35,32,0,0,0,0,0,0,0,0,7,0,0,9,13,0,0,0,1,1
2,2,1,24,18,0,1,0,0,0,0,0,0,0,0,0,4,11,0,1,1,2,0
0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,29,23,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
2,9,0,31,18,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,3,1
0,3,0,35,34,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
0,1,1,38,38,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,2,38,38,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0
13,6,6,38,17,0,4,0,2,0,0,0,0,0,0,0,19,20,0,3,3,0,1
0,3,0,20,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
15,30,1,31,16,0,0,0,0,0,0,0,0,7,1,0,47,52,0,5,5,4,1
0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,29,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
8,9,3,24,18,0,1,0,1,0,0,0,0,0,0,0,17,16,0,0,0,0,0
0,1,0,28,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,13,9,27,18,0,1,0,6,2,0,0,0,8,1,0,24,40,0,0,0,3,1
4,3,0,25,18,0,0,0,0,0,0,0,0,2,0,1,7,10,1,1,1,1,1
0,1,0,29,25,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
0,4,0,45,32,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0
18,4,10,53,25,0,1,0,6,0,0,1,0,0,0,0,22,29,3,8,8,0,0
1,2,1,32,30,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0
0,4,0,50,39,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
11,17,5,31,18,0,2,0,0,1,0,0,0,3,0,0,28,32,0,0,0,3,1
0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,3,0,62,61,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
2,7,1,20,18,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,1
5,9,1,39,19,0,1,0,0,0,0,0,0,0,0,2,15,22,0,0,0,2,0
2,2,2,22,22,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,26,25,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0
0,2,2,35,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1,0,19,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,9,35,18,0,2,0,2,1,0,0,0,2,NA,NA,21,28,0,0,0,0,0
0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,4,27,17,0,0,0,0,0,0,0,0,4,0,0,10,1,0,0,0,2,1
0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,42,31,0,0,0,0,2,0,0,0,0,0,0,4,6,0,0,0,2,1
2,2,2,28,18,0,0,0,1,0,0,0,0,0,NA,0,4,5,0,0,0,0,1
2,4,2,28,28,0,0,0,0,2,0,0,0,5,1,0,6,6,0,0,0,1,1
0,1,0,51,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,33,32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,2,1,28,28,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1
8,7,5,24,18,0,0,0,0,0,0,4,0,0,0,0,15,28,1,1,1,0,0
1,0,1,27,22,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,56,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,4,0,57,55,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0
9,23,2,26,18,0,1,0,1,0,0,0,2,6,0,0,32,33,1,1,1,1,0
2,7,2,42,36,0,0,0,0,2,0,0,0,1,NA,0,9,26,0,0,0,0,0
0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,18,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,8,2,40,39,0,1,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,0
0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,3,36,15,2,3,0,0,0,0,0,1,3,0,1,15,19,0,3,3,2,1
25,6,4,31,19,0,1,0,0,0,0,0,3,20,0,0,31,33,0,1,1,1,1
1,10,3,31,18,0,0,0,0,2,0,0,0,0,0,0,11,8,0,0,0,2,1
6,1,5,54,20,0,4,0,1,0,0,0,0,0,0,0,7,9,0,0,0,0,0
0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,2,29,19,0,1,0,0,0,0,0,0,2,0,0,16,23,0,0,0,4,1
9,9,2,30,19,0,1,0,0,0,0,0,0,2,0,0,18,25,0,0,0,4,0
1,1,1,24,18,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1
0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2,23,18,0,0,0,0,0,0,0,0,7,0,0,10,14,0,0,0,1,0
1,2,0,58,47,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1
7,11,12,49,25,0,5,0,0,0,0,0,0,4,0,0,18,27,0,0,0,1,1
0,1,1,61,60,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,37,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,3,30,23,0,3,0,0,0,0,0,0,0,NA,0,7,12,1,1,1,0,1
2,0,1,27,22,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1,0,1,43,43,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,2,0,23,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,3,3,52,42,0,0,0,0,3,0,0,0,0,NA,0,3,3,0,0,0,0,0
1,0,1,37,16,1,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
5,2,4,27,23,0,4,0,0,0,0,0,0,0,0,0,7,8,0,1,1,0,1
0,2,0,27,22,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
2,4,0,46,30,0,0,0,0,0,0,0,0,0,0,0,6,7,0,1,1,0,0
0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,42,29,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1
9,2,1,40,29,0,1,0,0,0,0,0,0,0,0,0,11,14,0,7,7,0,0
4,6,2,47,40,0,2,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0
0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,22,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,5,0,29,24,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0
0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,29,23,0,1,0,2,0,0,0,0,0,0,0,7,7,0,0,0,3,0
1,2,0,49,48,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
5,4,1,58,22,0,1,0,0,0,0,0,0,0,0,0,12,11,0,0,0,1,0
1,3,0,28,27,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,0
5,6,0,34,30,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0
2,0,2,53,46,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
10,6,9,28,18,0,5,0,0,0,0,0,0,7,NA,0,16,24,0,2,2,0,1
2,4,5,25,18,0,1,1,0,3,0,0,0,0,0,0,6,5,0,0,0,0,1
0,2,0,51,47,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
0,4,0,55,54,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1
0,1,0,76,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,19,19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,28,14,36,16,4,3,0,8,1,0,0,1,0,NA,0,43,40,1,2,2,0,1
1,4,0,37,20,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,20,19,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
0,0,0,18,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,16,14,44,23,0,11,0,1,2,0,0,1,1,0,1,41,49,0,6,6,2,1
26,19,16,45,23,0,13,0,1,2,0,0,1,1,0,1,47,54,1,6,6,2,0
0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,55,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
