age_at_current_charge,age_at_first_charge,p_charges,p_incarceration,p_probation,p_juv_fel_count,p_felprop_viol,p_murder,p_felassault,p_misdeassault,p_famviol,p_sex_offense,p_weapon,p_fta_two_year,p_fta_two_year_plus,current_violence,current_violence20,p_pending_charge,p_felony,p_misdemeanor,p_violence,total_convictions,p_arrest,p_property,p_traffic,p_drug,p_dui,p_domestic,p_stalking,p_voyeurism,p_fraud,p_stealing,p_trespass,six_month,one_year,three_year,five_year,sex,general_two_year
21,20,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
42,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
34,20,15,0,1,0,1,0,0,1,0,0,0,0,0,1,0,8,4,2,2,6,8,5,0,0,0,0,0,0,0,5,4,1,1,1,1,1,0
25,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0,9,14,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1
37,35,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0
26,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
26,22,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
19,19,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
39,34,5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,3,2,3,3,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
43,43,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,2,2,2,2,3,0,0,0,0,0,0,0,3,0,1,1,1,1,0,0
34,25,5,0,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
47,26,39,1,1,0,0,0,3,1,0,0,3,0,0,0,0,24,15,8,4,23,25,0,2,10,0,0,0,0,0,0,0,0,1,1,1,1,1
20,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,1,0
20,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
21,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0
35,33,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
26,18,20,1,0,0,2,0,0,0,0,0,0,0,0,1,0,10,4,6,0,10,14,6,0,4,0,0,0,0,0,5,4,0,0,1,1,1,0
19,15,11,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,2,0,4,2,0,7,0,0,0,0,0,0,0,7,2,1,1,1,1,1,1
32,22,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,4,6,0,0,4,0,0,0,0,0,0,0,1,1,1,1,0,1
45,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
21,18,13,1,1,0,2,0,0,1,0,0,0,0,0,1,0,9,1,9,3,10,11,4,0,2,0,0,0,0,0,3,1,1,1,1,1,1,1
47,19,30,0,1,0,1,0,3,0,0,0,0,0,0,0,0,20,7,6,4,13,15,2,0,14,0,0,0,0,0,2,1,0,0,0,0,1,0
33,33,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
19,19,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
18,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,4,0,0,0,0,0,0,0,1,1,1,1,1,1
23,18,7,1,1,0,2,0,0,0,0,0,0,0,0,1,0,3,4,0,1,4,7,6,0,0,0,0,0,0,0,6,4,0,0,1,1,0,0
25,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,2,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0
68,46,15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,4,5,1,9,8,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
34,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0
27,24,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0
23,18,9,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,3,1,3,5,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
19,19,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
24,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1
44,20,38,1,4,0,5,0,0,0,0,0,3,0,0,0,0,9,15,14,5,29,22,8,0,24,0,0,0,0,0,6,3,0,0,1,1,0,1
19,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1
18,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,1,4,1,1,1,1,0,1
25,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,5,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0
50,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
53,23,35,1,2,0,1,0,1,0,0,0,0,0,0,0,0,17,17,10,2,28,30,3,1,19,0,0,0,0,0,2,2,0,0,1,1,1,0
22,18,10,0,3,0,2,0,0,0,0,0,0,0,0,1,0,6,3,1,3,4,8,8,0,0,0,0,0,0,0,7,4,0,0,1,1,1,0
21,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0
25,20,9,1,2,0,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,5,8,0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,1
26,24,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0
39,18,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,3,5,1,8,9,1,0,6,1,0,0,0,0,1,0,1,1,1,1,1,1
44,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
34,29,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
32,22,8,0,2,0,0,0,2,1,0,0,0,0,0,1,0,2,2,1,2,3,6,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0
22,18,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
54,25,25,1,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,20,15,4,0,18,0,0,0,0,0,1,4,0,0,0,0,1,0
34,23,13,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,3,9,6,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
28,25,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0
45,38,7,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,6,2,6,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
18,16,4,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0
22,18,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
34,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,19,11,1,2,0,1,0,1,1,0,0,0,1,0,1,0,5,1,2,1,3,4,2,0,2,0,0,0,0,0,2,1,0,1,1,1,1,0
25,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0
33,31,9,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,0,7,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
26,19,16,1,0,0,2,0,2,2,0,0,0,0,0,0,0,6,2,3,6,5,11,2,0,7,0,0,0,0,0,2,0,0,1,1,1,1,1
27,19,18,1,0,0,2,0,2,2,0,0,0,0,0,0,0,11,2,5,6,7,12,2,0,8,0,0,0,0,0,2,0,1,1,1,1,1,1
27,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0
33,25,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,8,9,0,0,7,1,0,0,0,0,0,0,0,0,1,1,1,0
24,18,14,0,1,0,1,0,0,0,0,0,0,0,0,1,0,11,0,5,0,5,4,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0
25,18,36,0,2,0,3,0,0,0,0,0,1,0,0,0,0,25,2,14,4,16,14,5,0,5,1,0,0,0,0,3,1,0,1,1,1,1,1
30,22,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,9,3,0,3,0,0,0,0,0,3,2,1,1,1,1,1,1
26,16,36,0,3,0,0,1,1,1,0,0,1,0,0,0,0,25,3,12,3,15,16,2,0,9,2,0,0,0,0,0,2,0,0,1,1,1,0
34,34,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
45,40,8,0,1,0,0,0,0,2,0,0,0,0,0,1,0,4,0,2,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
23,18,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,1,2,2,5,3,0,1,0,0,0,0,0,3,1,0,0,1,1,1,1
37,18,6,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
33,18,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,3,11,1,14,18,1,0,9,2,0,0,0,0,1,0,0,0,1,1,1,1
40,17,30,0,1,2,5,0,0,0,0,0,1,0,0,0,0,25,5,13,5,18,16,5,0,6,0,0,0,0,0,5,0,0,0,1,1,1,0
22,16,16,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1
46,16,36,1,3,1,4,0,5,4,0,0,1,2,0,1,0,14,8,10,12,19,28,5,4,8,1,0,0,0,0,4,1,1,1,1,1,1,1
19,19,3,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1
19,19,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,3,2,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1
19,19,8,1,0,0,2,0,0,1,0,0,0,0,0,1,1,4,0,1,3,1,4,2,0,1,0,0,0,0,0,2,0,1,1,1,1,1,1
49,16,20,1,2,1,6,0,0,1,0,0,0,0,0,1,0,13,9,5,9,14,13,13,0,3,0,0,0,0,0,13,3,0,0,0,1,1,1
53,47,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,4,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
60,24,52,1,3,0,9,0,3,0,0,0,1,0,0,1,0,34,17,17,17,34,36,24,0,11,2,0,0,0,0,21,9,1,1,1,1,1,0
25,19,7,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1
27,21,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
40,34,9,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
24,18,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,3,7,1,0,2,0,0,0,0,0,1,1,0,1,1,1,1,1
21,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
23,17,9,0,2,0,1,0,1,3,0,0,0,0,0,1,0,4,2,4,4,6,6,2,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1
23,17,14,1,2,0,1,0,1,3,0,0,0,0,0,0,0,4,2,4,5,6,7,2,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1
24,17,15,1,2,0,1,0,1,4,0,0,0,0,0,1,0,9,2,5,5,7,8,2,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1
45,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0
22,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0
27,24,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21,17,10,0,2,0,0,0,0,3,0,0,0,0,0,1,0,8,0,4,2,4,7,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0
33,18,18,1,2,0,0,0,1,0,0,0,1,0,0,0,0,2,7,4,1,11,11,1,0,11,0,0,0,0,0,0,1,0,0,1,1,1,0
27,20,15,0,2,0,1,0,0,2,0,0,0,0,0,0,0,13,4,5,3,9,5,1,0,9,0,0,0,0,0,1,0,1,1,1,1,1,1
19,17,7,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,3,4,0,1,0,0,0,0,0,4,2,0,1,1,1,1,1
22,21,7,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
28,16,43,0,3,0,1,0,0,0,0,0,0,0,0,0,0,28,5,15,1,20,20,1,3,13,2,0,0,0,0,1,0,0,0,1,1,1,1
37,18,30,0,6,0,0,0,0,1,0,0,0,0,0,0,0,13,4,17,1,21,22,1,0,11,3,0,0,0,0,1,1,0,0,1,1,1,1
45,21,15,0,1,0,1,0,0,0,0,0,6,0,0,0,0,5,1,4,1,5,8,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
27,20,12,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,5,1,4,6,1,8,0,0,0,0,0,0,0,7,2,1,1,1,1,0,0
20,17,6,0,0,2,2,0,1,0,0,0,0,0,0,1,1,2,2,0,2,2,4,4,0,0,0,0,0,0,0,4,2,1,1,1,1,1,0
24,21,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19,17,7,1,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1,1,0,2,2,1,0,5,0,0,0,0,0,1,0,1,1,1,1,1,1
39,25,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
20,13,15,1,1,0,0,0,0,0,0,0,0,4,0,1,1,8,1,3,1,4,6,3,0,4,0,0,0,0,0,2,1,0,0,1,1,1,0
31,25,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,4,2,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1
22,18,10,1,1,0,2,0,0,0,0,0,0,0,0,1,0,4,0,2,0,2,4,5,0,4,0,0,0,0,0,5,2,1,1,1,1,1,1
49,25,8,0,1,0,5,0,0,0,0,0,0,0,0,1,0,7,4,0,4,4,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
23,18,14,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,7,4,8,7,5,0,0,0,0,0,0,0,4,2,1,1,1,1,1,1
25,24,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1
30,27,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
24,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
26,23,5,0,2,0,1,0,0,1,0,0,0,0,1,1,0,3,1,1,1,2,2,3,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0
26,25,6,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
36,18,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,1,11,9,0,0,7,0,0,0,0,0,0,0,0,1,1,1,1,1
19,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1
23,20,16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,8,0,6,1,6,7,4,0,2,0,0,0,0,0,3,2,1,1,1,1,1,1
43,26,6,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,3,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1
43,26,8,1,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,3,4,0,0,0,0,0,0,0,4,0,1,1,1,1,1,1
25,21,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
54,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
18,18,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
30,21,37,1,1,0,6,0,0,0,0,0,0,0,0,0,0,26,14,12,6,26,19,10,0,13,0,0,0,0,0,7,4,0,0,1,1,1,1
26,23,10,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,1,0,1,3,1,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0
20,18,10,1,0,0,3,0,1,1,0,0,0,0,0,1,1,4,1,1,4,2,4,4,0,1,0,0,0,0,0,3,0,1,1,1,1,1,1
26,18,13,1,0,0,0,0,0,5,0,0,1,0,0,1,0,6,0,6,3,6,11,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1
42,37,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
31,30,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
30,18,26,1,7,0,5,0,0,1,0,0,0,0,0,1,0,12,10,6,4,16,22,5,0,8,0,0,0,0,0,5,0,1,1,1,1,1,1
22,18,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9,1,2,1,3,4,6,0,1,0,0,0,0,0,6,4,0,0,0,1,1,0
23,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1,0
18,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0
23,20,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1
30,19,22,1,4,0,2,0,1,0,0,0,1,0,0,0,0,14,6,7,6,13,12,13,0,3,0,0,0,0,0,11,8,0,0,1,1,1,1
33,29,4,0,2,0,0,0,2,1,0,0,0,0,0,1,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
38,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
39,21,11,0,5,0,0,1,0,0,0,0,1,0,0,1,0,6,4,3,0,7,14,2,0,3,1,0,0,0,0,2,2,0,0,0,0,1,0
19,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
23,18,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17,6,4,4,10,9,12,0,3,0,0,0,0,0,10,8,1,1,1,1,1,0
20,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
36,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
21,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,0,2,0,0,0,0,0,1,1,0,0,1,1,1,1
33,21,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,5,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
27,16,18,1,0,0,1,0,2,1,0,0,0,1,0,0,0,11,3,7,5,11,10,2,0,6,0,0,0,0,0,2,0,1,1,1,1,1,1
51,49,8,1,1,0,0,0,1,2,0,0,0,0,0,1,0,2,3,3,2,6,7,2,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1
19,18,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1
23,23,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
49,26,8,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,1,5,3,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,1
21,18,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,3,1,5,5,3,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0
30,22,11,1,3,0,3,0,0,0,0,0,0,1,0,1,0,5,2,5,4,7,8,7,0,3,0,0,0,0,0,5,0,0,1,1,1,1,1
30,22,11,1,3,0,3,0,0,0,0,0,0,1,0,1,0,5,2,5,4,7,8,7,0,3,0,0,0,0,0,5,0,0,1,1,1,1,1
23,23,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,4,3,1,1,1,1,1,0
30,17,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
28,24,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,3,1,2,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0
24,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
30,15,11,1,5,1,0,0,1,1,0,1,1,0,0,0,0,5,1,5,5,6,14,5,0,0,0,0,0,0,0,4,3,0,0,1,1,1,0
26,23,11,1,1,0,0,0,1,2,0,0,0,0,0,0,0,5,0,5,3,5,3,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
27,23,13,1,1,0,0,0,1,2,0,0,0,0,0,0,0,7,0,7,3,7,5,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1
