PercentTradesWBalance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PoorRiskPerformance
75,73,140,7,47,12,0,0,92,46,6,6,12,2,33,5,1,1,49,74,2,3,1,1
45,69,180,9,101,30,1,1,100,-7,6,7,9,2,29,16,0,0,25,-8,3,2,1,1
57,70,105,5,38,12,1,1,100,-7,7,8,13,1,17,0,1,1,21,-8,3,1,0,1
82,63,282,4,71,29,2,2,88,1,4,2,32,4,69,0,1,1,4,81,5,4,0,1
33,88,304,3,96,29,0,0,100,-7,7,8,31,2,37,-8,0,0,18,-8,2,1,0,0
92,70,116,2,65,26,0,0,96,37,6,6,27,4,52,0,2,2,44,70,7,4,0,1
91,56,407,10,118,19,1,0,75,2,3,5,20,1,20,-7,0,0,55,-8,8,1,5,1
82,78,263,23,102,19,0,0,95,31,6,6,19,0,42,14,0,0,17,29,6,3,0,0
92,56,144,3,55,34,0,0,100,-7,7,8,36,2,53,5,0,0,92,84,9,3,5,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
69,56,120,5,54,31,1,1,97,7,4,6,36,2,54,-7,1,1,65,67,7,4,2,1
57,89,490,6,99,18,0,0,100,-7,7,8,18,2,39,-7,0,0,2,52,2,2,0,0
75,75,90,4,40,20,0,0,95,79,6,6,20,5,15,0,0,0,26,96,10,2,0,0
100,66,278,8,66,6,2,0,75,45,6,5,8,2,75,0,4,4,47,86,1,2,0,1
63,76,97,9,44,14,0,0,100,-7,7,8,14,2,21,0,1,1,32,43,3,2,0,0
82,67,134,13,61,17,0,0,94,20,6,6,17,0,35,0,1,1,22,70,4,5,2,1
73,62,104,1,53,28,0,0,93,2,4,6,30,5,60,0,6,6,10,77,4,4,2,1
83,64,217,39,104,15,0,0,88,10,4,6,16,0,50,1,2,2,56,10,3,2,2,0
73,72,365,11,83,22,0,0,100,-7,7,8,22,1,41,0,0,0,49,23,6,2,1,1
67,84,165,36,88,12,0,0,100,-7,7,8,12,0,50,-8,0,0,18,-8,1,1,0,0
47,73,339,7,142,34,0,0,83,11,4,6,36,3,36,0,6,4,7,-8,3,5,0,1
90,68,346,2,94,26,0,0,96,15,6,6,28,2,57,2,3,3,85,68,3,5,2,0
40,86,403,3,131,18,0,0,100,-7,7,8,21,2,24,0,4,4,2,-8,4,-8,0,0
80,54,225,0,79,44,3,2,75,3,3,2,63,6,25,1,5,5,18,77,10,4,0,1
89,65,29,9,18,10,0,0,100,-7,7,8,10,3,40,0,5,5,38,68,5,3,0,0
67,74,202,9,89,27,0,0,100,-7,7,8,34,1,15,-7,0,0,51,-8,6,1,3,1
60,86,287,15,117,23,0,0,100,-7,7,8,23,0,30,11,0,0,3,54,3,3,0,0
44,80,410,19,136,23,0,0,100,-7,7,8,23,0,13,0,1,1,23,75,5,2,0,0
57,73,211,5,71,38,0,0,98,42,6,6,43,5,49,0,1,1,33,100,4,4,0,1
83,72,111,6,79,9,2,2,92,23,5,2,24,1,67,-7,0,0,39,-8,4,-8,2,1
100,62,206,4,64,18,0,0,78,34,6,6,18,3,67,0,4,4,73,57,4,1,1,1
44,77,271,4,81,22,0,0,95,53,6,6,22,2,18,0,1,1,22,92,6,2,0,0
46,72,174,2,69,30,1,1,97,17,5,2,33,1,9,0,0,0,9,84,5,1,0,1
47,74,279,3,90,31,1,1,97,12,6,4,33,3,18,0,2,2,5,95,4,3,0,1
36,85,320,9,81,27,0,0,100,-7,7,8,32,2,47,8,0,0,4,-8,1,3,0,0
86,61,256,19,68,14,0,0,87,0,4,6,15,0,33,0,2,1,62,68,3,3,1,1
100,59,330,62,161,5,1,0,63,6,4,5,8,0,50,-7,1,1,87,-8,2,1,2,1
78,58,74,9,28,14,0,0,93,6,4,6,15,1,67,-7,3,3,88,44,2,5,2,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
50,89,283,13,116,30,0,0,100,-7,7,8,32,0,19,0,1,0,4,33,3,2,0,0
36,84,311,10,85,26,0,0,100,-7,7,8,26,1,31,0,0,0,8,23,3,2,0,0
100,70,291,8,88,14,0,0,100,-7,7,8,8,1,29,-7,0,0,100,67,5,2,4,1
50,86,275,13,87,18,0,0,100,-7,7,8,18,0,33,0,0,0,8,-8,4,-8,0,0
71,79,120,1,51,28,0,0,97,-8,6,6,29,3,45,-7,5,5,27,96,2,3,0,0
60,82,181,10,92,10,0,0,90,71,6,6,10,2,30,3,1,1,5,-8,2,1,0,1
20,89,186,18,86,10,0,0,100,-7,7,8,10,0,20,0,1,1,0,-8,1,-8,0,0
100,58,80,27,62,11,2,1,83,33,6,5,13,0,50,0,1,1,82,42,3,3,2,1
38,56,182,7,105,16,4,4,65,4,0,2,20,3,25,0,1,1,43,-8,3,-8,1,0
100,63,126,6,41,5,1,0,83,8,3,5,6,1,50,0,1,1,90,86,1,2,-8,1
43,73,164,17,87,20,1,0,91,23,6,5,22,0,50,-7,2,2,35,-8,2,1,0,0
58,57,385,9,81,26,0,0,85,2,4,6,28,1,23,8,0,0,73,84,5,2,2,1
50,80,190,6,65,10,1,1,92,65,6,4,12,2,50,0,0,0,48,-8,1,1,1,1
75,76,151,5,107,18,0,0,100,-7,7,8,1,3,28,-7,1,1,47,92,6,3,0,1
33,82,436,2,116,47,0,0,100,-7,7,8,37,1,13,2,1,1,11,29,6,3,0,1
80,58,78,4,46,18,0,0,95,23,6,6,19,3,16,-7,2,2,87,-8,11,1,5,0
20,90,396,7,121,23,0,0,100,-7,7,8,23,1,22,7,0,0,1,-8,1,1,0,0
100,77,148,27,96,13,0,0,100,-7,7,8,14,0,50,0,2,2,75,-8,1,1,0,0
89,72,178,1,60,29,0,0,100,-7,7,8,48,2,43,-7,3,3,60,85,6,2,2,0
58,64,103,1,52,22,1,1,88,26,6,6,24,3,38,1,5,5,29,77,4,3,2,1
90,61,250,4,66,47,1,1,100,-7,6,8,49,2,39,0,2,2,73,61,14,4,5,1
100,55,164,1,51,3,2,1,67,10,2,4,6,2,17,0,1,1,87,-8,3,1,2,1
92,72,263,15,103,22,0,0,100,-7,7,8,24,0,25,0,0,0,72,-8,9,2,2,1
52,74,319,14,115,41,0,0,90,9,4,6,43,0,24,16,0,0,23,-8,10,1,0,0
42,79,272,19,102,24,0,0,100,-7,7,8,24,0,13,7,0,0,34,-8,4,1,1,0
100,56,127,9,58,30,0,0,90,0,4,6,30,1,80,0,2,2,74,59,3,7,1,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
56,84,276,18,80,15,0,0,100,-7,7,8,15,0,33,17,0,0,12,-8,3,2,0,0
50,75,146,14,73,8,0,0,75,5,4,6,57,0,38,22,0,0,0,-8,0,1,-8,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
80,69,63,1,32,16,0,0,100,-7,6,7,17,3,41,-7,7,7,45,57,5,3,0,1
43,87,428,6,59,14,0,0,100,-7,7,8,45,4,29,3,1,1,3,-8,3,-8,0,0
40,86,177,1,73,25,0,0,100,-7,7,8,33,2,30,3,1,1,2,-8,3,1,0,0
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
63,69,71,9,38,11,1,1,100,-7,7,8,12,1,55,0,0,0,39,69,2,3,1,1
86,80,233,3,106,28,0,0,97,2,4,6,30,4,37,2,3,3,4,98,4,2,0,0
44,79,111,2,67,40,0,0,100,-7,7,8,5,1,12,-7,1,1,1,85,9,2,0,0
50,86,120,12,68,25,0,0,100,-7,7,8,25,0,40,0,1,1,1,-8,3,1,0,0
91,61,159,4,77,30,0,0,76,20,6,6,33,1,45,-7,2,2,76,63,8,2,3,1
56,64,436,10,94,27,0,0,93,2,4,6,38,1,4,6,0,0,59,-8,9,-8,5,1
100,60,299,6,123,9,2,2,60,30,6,4,9,3,27,0,1,1,65,70,6,2,0,1
78,58,175,6,57,45,1,0,96,8,3,5,47,1,53,0,3,3,69,85,6,12,3,1
83,83,185,12,103,13,0,0,92,77,6,6,13,0,15,-7,0,0,7,-8,4,1,0,0
63,54,134,8,64,14,1,1,76,0,4,4,17,1,24,0,0,0,31,-8,4,1,1,1
67,75,382,40,123,13,0,0,92,24,6,6,13,0,8,-8,0,0,31,-8,4,-8,1,1
50,79,21,1,11,1,0,0,100,-7,7,8,2,1,50,0,0,0,0,-8,0,1,-8,1
75,78,185,2,86,16,0,0,100,-7,7,8,18,2,29,2,6,6,40,-8,3,-8,1,0
74,55,102,5,53,43,0,0,96,17,6,6,56,5,36,1,6,6,61,90,12,5,3,1
50,79,421,3,66,15,0,0,100,-7,7,8,15,1,40,0,0,0,46,63,2,2,2,0
74,70,243,7,80,57,0,0,98,-8,6,6,58,2,43,3,2,2,48,87,10,4,4,1
75,68,195,4,67,22,1,0,87,34,6,5,23,3,52,2,3,3,74,88,3,3,2,1
100,79,-8,7,104,20,0,0,95,27,6,6,20,2,55,-7,0,0,27,49,5,3,0,0
78,74,159,9,69,26,0,0,100,-7,6,7,27,2,48,-7,0,0,61,67,3,4,2,1
89,58,295,5,12,9,0,0,89,2,4,6,18,6,11,-7,0,0,29,-8,7,1,0,1
86,57,-8,6,91,10,1,0,47,2,4,5,16,1,31,-7,0,0,91,29,4,1,2,1
100,63,164,12,51,10,1,0,82,24,6,5,11,0,55,0,0,0,68,84,4,3,2,0
100,59,32,10,23,3,1,1,100,-7,7,8,4,1,67,0,1,1,90,-8,1,1,1,1
100,76,102,24,46,7,0,0,100,-7,7,8,7,0,100,23,0,0,-8,24,-8,3,-8,0
67,73,19,2,9,2,0,0,100,-7,7,8,3,2,33,0,8,7,15,-8,1,1,0,1
80,72,103,8,45,20,0,0,100,-7,7,8,21,2,52,0,1,1,71,90,1,3,1,0
70,80,206,1,68,19,0,0,100,-7,7,8,21,4,52,1,2,2,25,89,4,3,0,1
100,70,145,145,145,2,0,0,50,60,6,6,2,0,100,0,1,1,-8,-8,-8,1,-8,1
86,57,188,16,83,13,1,0,79,3,3,5,14,0,29,16,0,0,98,95,3,3,3,1
52,83,348,2,100,61,0,0,98,24,6,6,67,4,35,1,1,1,6,62,7,4,0,0
45,76,194,19,132,15,1,1,94,30,6,2,16,0,31,0,4,4,0,47,1,2,0,1
86,58,272,6,52,21,1,0,95,55,6,5,22,6,32,1,8,8,76,73,8,3,3,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
73,78,225,25,114,31,0,0,100,-7,7,8,33,0,30,-7,1,1,56,21,7,3,2,1
93,73,131,3,84,20,0,0,100,-7,7,8,14,6,60,-7,4,4,48,50,4,8,2,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
25,82,268,2,63,40,0,0,100,-7,7,8,36,4,7,6,0,0,6,-8,4,-8,0,0
60,88,140,16,61,13,0,0,100,-7,7,8,13,0,46,2,1,1,1,72,1,2,0,0
55,70,209,3,81,54,0,0,98,60,6,6,56,3,16,8,0,0,22,78,9,3,0,0
86,66,119,1,47,14,0,0,100,-7,7,8,16,6,38,0,3,3,74,100,5,1,2,1
80,67,44,21,96,6,2,1,50,36,6,2,14,0,0,0,2,2,65,-8,4,-8,2,0
86,47,150,15,78,21,4,2,75,2,3,2,28,0,57,0,1,1,77,-8,5,1,2,1
18,87,169,18,83,22,0,0,100,-7,7,8,22,0,14,-7,0,0,0,-8,1,1,0,1
49,65,258,5,73,62,0,0,97,7,4,6,60,7,25,3,2,2,20,54,11,9,1,1
100,77,173,11,59,7,1,1,100,-7,7,8,8,1,43,0,0,0,69,-8,1,1,0,0
89,62,30,2,13,8,0,0,90,5,4,6,10,4,40,0,3,3,17,100,3,4,0,1
42,76,218,12,85,27,0,0,100,-7,7,8,41,0,21,-8,0,0,44,-8,3,1,1,0
50,82,240,4,103,23,0,0,92,28,6,6,26,3,50,-7,1,1,9,88,2,2,0,0
80,57,92,11,31,12,0,0,92,5,4,6,12,2,17,-7,1,1,87,-8,7,1,2,1
67,72,247,5,93,19,1,1,90,6,4,3,23,3,19,0,4,4,46,89,2,2,1,1
88,66,255,1,80,14,1,1,88,9,4,6,16,3,69,-7,4,4,58,60,3,4,1,1
57,69,207,1,79,21,2,2,100,-7,6,8,22,3,73,1,1,1,30,69,1,3,1,0
100,84,264,11,102,26,0,0,96,-7,5,7,27,1,33,1,1,1,21,57,7,3,0,0
64,81,398,2,112,17,0,0,100,-7,7,8,18,2,33,0,0,0,47,60,5,2,1,0
33,78,256,2,83,25,0,0,100,-7,7,8,27,1,19,3,1,1,34,-8,4,1,2,0
86,65,64,6,40,14,0,0,100,-7,7,8,14,1,36,0,1,1,95,-8,3,2,3,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
57,78,92,6,25,10,0,0,100,-7,7,8,10,4,30,0,2,2,16,71,2,2,0,1
43,88,168,3,89,20,0,0,100,-7,6,7,11,1,20,20,1,1,5,-8,3,-8,0,0
63,82,364,26,126,26,0,0,96,53,6,6,27,0,15,-8,1,0,15,75,7,3,1,0
88,66,75,4,25,14,0,0,100,-7,7,8,14,5,64,0,2,2,80,95,4,3,1,1
50,89,172,5,76,18,0,0,100,-7,7,8,21,1,48,12,0,0,14,82,1,2,0,0
50,58,375,72,137,7,4,3,30,2,0,2,11,0,10,0,0,0,44,-8,2,-8,1,1
82,57,162,6,66,25,1,0,80,7,4,5,31,1,40,0,1,1,47,68,6,3,1,1
100,70,158,1,135,4,1,1,100,-7,7,8,13,1,80,-7,1,1,83,49,1,2,-8,1
50,68,217,11,109,24,0,0,88,18,6,6,24,1,17,0,5,4,61,-8,5,1,3,0
33,70,55,4,26,19,1,1,100,-7,6,8,19,4,32,3,1,1,15,68,3,1,1,0
31,66,367,30,84,31,0,0,97,2,4,6,20,0,32,6,1,0,15,-8,3,2,0,1
100,63,272,6,59,6,1,1,100,-7,6,8,6,3,17,0,0,0,97,-8,3,1,2,1
77,73,339,2,89,33,2,1,92,36,6,3,38,5,32,2,2,2,23,72,6,4,1,0
50,69,172,1,63,13,1,0,87,41,6,5,15,3,40,0,0,0,80,-8,3,1,2,1
60,70,118,6,52,24,0,0,88,-8,6,6,26,5,38,1,2,2,54,-8,2,1,1,1
100,73,176,15,47,14,0,0,100,-7,7,8,14,0,7,-7,0,0,62,-8,7,-8,4,1
64,64,345,3,109,31,2,1,92,59,6,2,36,3,42,0,3,3,51,78,6,1,3,0
17,84,217,19,94,25,0,0,100,-7,7,8,25,0,12,20,0,0,13,-8,1,-8,0,0
75,68,116,21,59,31,2,2,97,15,6,6,33,0,52,0,1,1,16,44,2,6,0,1
92,56,182,26,66,20,2,2,80,3,4,6,21,0,25,0,0,0,42,-8,11,1,3,1
64,69,142,2,42,15,2,2,83,35,6,2,18,3,39,0,0,0,19,43,4,3,0,0
75,88,313,14,116,5,0,0,100,-7,7,8,5,0,0,10,0,0,13,-8,3,-8,0,1
67,73,61,1,83,33,6,6,91,36,6,6,25,5,51,4,1,1,8,95,5,3,0,1
69,54,113,2,36,37,0,0,97,8,4,6,38,6,50,0,9,9,59,94,4,5,1,1
100,58,170,11,80,14,4,0,72,6,3,5,21,2,44,-7,0,0,65,68,3,4,0,0
46,82,306,5,67,18,0,0,100,-7,7,8,19,2,32,0,1,1,0,58,2,4,0,0
64,60,144,9,48,28,1,1,97,22,6,2,30,2,33,-7,0,0,79,59,5,4,4,1
70,84,308,10,125,27,0,0,100,-7,7,8,27,1,37,-7,0,0,27,52,2,5,0,0
83,67,203,45,144,12,1,1,86,2,0,2,23,0,36,-7,0,0,76,90,3,2,0,0
41,79,207,6,81,30,0,0,100,-7,7,8,31,4,16,0,2,2,8,63,6,2,0,1
73,72,179,2,57,30,0,0,100,-7,7,8,31,2,42,2,1,1,50,91,7,4,3,0
67,85,151,5,64,20,0,0,100,-7,7,8,20,2,35,0,0,0,4,56,4,2,0,1
60,68,168,13,76,31,0,0,97,1,4,6,31,0,16,2,1,1,42,-8,8,1,3,1
67,73,94,1,41,13,0,0,100,-7,7,8,21,5,67,-7,3,3,0,97,1,3,-8,1
81,70,259,5,81,23,1,1,91,27,6,6,22,1,35,0,2,2,38,39,11,2,3,1
63,68,253,11,99,36,1,1,85,10,4,2,40,2,28,0,0,0,44,-8,9,1,1,0
40,74,148,9,89,17,1,1,95,50,6,2,19,1,47,0,2,1,12,-8,1,1,0,0
80,69,603,1,182,10,0,0,82,38,6,6,11,1,18,0,0,0,96,-8,4,-8,4,0
75,69,77,8,45,28,0,0,100,-7,7,8,29,3,38,0,0,0,39,72,4,5,0,1
50,85,200,10,57,19,0,0,100,-7,7,8,19,1,16,-7,0,0,7,65,4,2,0,1
67,66,256,2,73,20,1,1,86,15,6,3,24,1,18,2,3,3,47,-8,5,1,3,1
88,61,256,12,99,14,1,0,68,2,4,5,19,0,58,-7,0,0,63,89,2,4,1,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
88,68,143,2,64,36,3,2,86,36,6,4,42,7,69,-7,4,4,42,77,4,3,1,1
71,64,115,0,45,32,2,1,98,16,6,5,40,6,38,5,0,0,12,89,7,8,0,0
67,90,320,8,85,8,0,0,100,-7,7,8,8,1,25,12,0,0,2,-8,2,-8,-8,0
75,74,219,3,90,42,0,0,96,6,4,6,49,3,33,1,6,5,19,59,4,4,0,1
63,89,344,6,137,19,0,0,100,-7,7,8,20,1,25,0,1,1,10,-8,3,2,0,0
31,85,326,4,120,21,0,0,100,-7,7,8,44,1,26,4,3,3,5,39,2,2,0,0
100,70,156,5,58,3,0,0,100,-7,7,8,3,1,33,1,2,2,95,88,1,1,-8,0
50,69,148,4,66,41,0,0,100,-7,7,8,41,4,10,-7,1,1,32,60,7,3,1,1
53,60,249,2,81,27,0,0,96,1,4,6,71,3,36,-7,3,3,59,21,3,5,2,0
38,83,384,2,179,24,0,0,100,-7,7,8,26,1,19,1,1,1,4,-8,1,1,0,0
67,76,56,7,39,6,0,0,100,-7,7,8,6,1,17,0,0,0,21,22,3,1,1,1
83,74,193,2,84,14,0,0,100,-7,7,8,21,3,27,4,2,2,77,-8,5,-8,2,1
42,83,190,26,102,32,0,0,97,52,6,6,33,0,19,2,1,1,2,20,2,3,0,0
47,59,247,4,92,31,4,3,97,44,6,5,33,3,21,2,4,3,53,-8,5,1,3,0
89,55,58,3,24,18,0,0,95,5,4,6,19,3,53,0,1,1,65,91,4,4,2,1
78,66,246,5,86,26,6,4,79,59,6,5,28,2,61,0,0,0,28,67,3,4,1,1
100,65,265,11,64,16,0,0,88,37,6,6,17,1,24,0,1,1,76,-8,8,1,2,1
67,67,152,21,97,25,1,1,96,-7,5,7,26,0,35,0,7,6,59,-8,7,1,2,1
71,79,49,4,62,28,0,0,100,-7,7,8,6,3,36,1,1,1,26,71,2,2,1,0
45,82,247,3,57,46,0,0,98,18,6,6,46,3,28,0,0,0,3,45,3,2,0,1
69,66,166,5,65,19,0,0,100,-7,7,8,19,3,16,0,7,7,55,-8,6,3,4,0
33,77,177,1,59,41,0,0,100,-7,7,8,43,6,9,0,3,3,3,-8,8,1,1,0
90,72,214,6,88,34,0,0,97,78,6,6,35,1,46,-7,3,3,59,31,5,4,2,0
40,93,417,25,235,9,0,0,100,-7,7,8,9,0,22,-8,1,0,0,-8,1,-8,0,0
79,59,154,3,65,27,0,0,100,-7,7,8,27,6,37,0,2,2,85,74,8,3,5,1
80,64,320,2,96,40,0,0,93,24,6,6,42,2,37,0,7,7,35,77,14,2,1,0
70,85,324,20,143,21,0,0,100,-7,7,8,21,0,33,-8,0,0,10,-8,4,1,0,0
50,84,397,71,199,8,0,0,88,65,6,6,8,0,13,0,0,0,0,-8,0,-8,-8,0
40,88,176,5,72,13,0,0,100,-7,7,8,13,1,31,0,0,0,4,80,1,1,0,0
40,88,-8,4,129,10,0,0,100,-7,7,8,10,1,40,-7,3,3,4,-8,1,1,0,0
33,76,211,2,60,28,0,0,90,13,6,6,61,3,14,-7,1,1,13,96,5,3,0,1
67,71,151,2,34,10,0,0,100,-7,7,8,12,7,25,0,4,4,53,-8,6,-8,1,1
80,78,267,3,73,35,0,0,97,52,6,6,35,2,43,2,2,2,27,91,4,4,1,1
44,57,75,8,33,17,0,0,88,2,4,6,17,1,18,0,0,0,32,-8,3,1,2,1
70,67,-8,2,17,11,0,0,100,-7,7,8,0,6,8,-7,2,2,65,-8,6,1,1,1
69,84,138,5,52,18,0,0,100,-7,7,8,18,1,44,0,1,1,9,67,5,4,0,1
39,70,288,8,69,30,0,0,100,-7,7,8,30,2,20,0,1,1,31,94,5,2,2,1
72,63,177,6,116,28,0,0,87,2,4,6,29,2,50,0,9,9,52,40,3,9,0,1
100,55,367,2,74,24,0,0,96,8,4,6,26,10,46,0,7,6,77,63,6,4,4,1
75,74,66,6,36,10,0,0,100,-7,7,8,10,1,40,0,3,0,41,94,2,1,1,1
69,74,250,18,81,19,0,0,100,-7,7,8,20,0,20,0,1,1,69,54,6,3,2,0
67,59,183,8,84,19,2,0,90,22,6,5,21,2,5,-7,1,1,66,-8,6,-8,2,0
45,64,93,2,50,20,1,1,76,32,6,6,22,5,24,0,1,1,58,-8,4,1,2,0
83,80,315,27,114,12,0,0,83,38,6,6,13,0,50,14,0,0,18,70,3,2,0,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
91,66,183,17,62,28,0,0,100,-7,7,8,29,0,28,12,0,0,86,54,8,2,8,1
70,68,374,4,72,21,0,0,95,2,4,6,22,5,36,0,0,0,45,79,5,2,1,1
83,64,157,2,38,6,4,4,88,33,6,2,8,2,50,-7,1,1,34,95,3,2,0,1
80,56,56,1,27,16,0,0,100,-7,7,8,17,4,12,-7,0,0,74,36,9,2,5,1
82,54,109,9,59,31,1,1,94,2,4,2,33,2,38,0,3,3,62,-8,8,1,3,1
70,84,313,6,103,25,0,0,100,-7,7,8,25,2,24,11,0,0,10,92,4,3,0,0
65,81,261,11,110,27,0,0,96,53,6,6,27,1,22,0,0,0,23,13,11,2,0,0
88,66,139,2,59,20,1,1,100,-7,6,8,21,4,24,1,1,1,60,-8,6,1,3,0
55,76,222,2,80,34,0,0,97,30,6,6,36,3,22,0,4,4,6,62,6,5,0,0
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
83,66,54,6,28,10,1,1,100,-7,7,8,10,1,50,-7,2,2,74,57,3,2,1,1
100,68,168,10,33,8,0,0,100,-7,7,8,27,3,38,1,3,3,70,74,4,3,1,0
73,68,191,7,67,25,1,1,89,20,6,3,32,2,22,15,1,0,51,44,9,2,5,0
80,69,301,32,178,5,1,0,56,2,4,5,9,0,44,-8,0,0,75,40,2,2,1,1
92,65,61,2,26,13,1,1,100,-7,6,8,14,3,36,1,1,1,57,32,8,3,1,0
50,74,176,5,87,21,0,0,95,19,6,6,21,1,38,-7,2,2,29,89,3,1,1,1
50,92,406,8,149,12,0,0,100,-7,7,8,13,1,38,0,2,2,5,92,1,1,0,0
71,70,168,2,109,41,0,0,98,67,6,6,10,1,21,1,1,1,82,-8,14,-8,8,1
69,65,150,5,47,24,1,1,84,11,4,3,36,1,28,0,2,2,51,93,7,2,1,0
74,66,23,3,36,21,0,0,100,-7,7,8,8,2,19,0,1,1,45,72,11,3,5,1
63,70,284,1,64,12,1,0,71,9,4,5,14,1,14,0,1,1,15,60,3,2,0,0
29,82,161,4,60,41,0,0,100,-7,7,8,44,4,23,0,4,4,2,-8,3,1,1,1
33,88,-8,8,90,23,0,0,100,-7,7,8,0,2,9,-8,0,0,0,92,1,1,0,0
75,66,123,4,48,22,0,0,100,-7,7,8,22,4,14,-7,2,2,76,-8,7,1,5,1
70,66,184,10,112,15,1,0,56,4,4,5,43,1,28,-7,0,0,58,87,5,2,1,1
