destination,passanger,weather,temperature,time,map,coupon,expiration,gender,age,maritalStatus,Childrennumber,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Friend(s),Sunny,80,10AM,NAC1,Bar,1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,NAC2,Carry out & Take away,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC1,Coffee House,1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Restaurant(<20),1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,NAC1,Coffee House,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,NAC2,Restaurant(<20),2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,NAC1,Coffee House,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,NAC2,Carry out & Take away,1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,NAC1,Coffee House,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1
Home,Alone,Sunny,55,6PM,BCA1,Bar,1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,1,0,0
Home,Alone,Sunny,55,6PM,BAC2,Restaurant(20-50),1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,BAC1,Coffee House,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,CBA1,Coffee House,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,CBA2,Bar,1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,BAC2,Restaurant(20-50),1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0
Work,Alone,Sunny,80,7AM,BCA1,Carry out & Take away,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,BAC1,Restaurant(<20),1d,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,BAC2,Coffee House,2h,Male,46,Single,0,Some college; no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,55,2PM,NAC1,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,NAC1,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,NAC2,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,NAC2,Restaurant(<20),2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,NAC2,Carry out & Take away,1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,NAC2,Restaurant(<20),2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,NAC2,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,NAC2,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,2PM,NAC1,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
No Urgent Place,Kid(s),Sunny,55,2PM,NAC2,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,55,6PM,NAC2,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0
Home,Alone,Sunny,55,6PM,BCA1,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,BAC2,Restaurant(20-50),1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,BAC1,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CBA1,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,CBA2,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,BAC2,Restaurant(20-50),1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1
Work,Alone,Sunny,80,7AM,BCA1,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,1,0,0
Work,Alone,Sunny,55,7AM,BAC1,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,BAC2,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education Training & Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,55,2PM,NAC1,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,NAC1,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,NAC1,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,NAC2,Carry out & Take away,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC1,Coffee House,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,NAC1,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,NAC2,Restaurant(<20),2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,NAC1,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,NAC2,Carry out & Take away,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,NAC1,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
Home,Alone,Sunny,55,6PM,BCA1,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,BAC2,Restaurant(20-50),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
Home,Alone,Sunny,80,6PM,BAC1,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,CBA1,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,1,0,1,1
Work,Alone,Sunny,55,7AM,CBA2,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,BAC2,Restaurant(20-50),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
Work,Alone,Sunny,80,7AM,BCA1,Carry out & Take away,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,BAC1,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,BAC2,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,2PM,NAC1,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,NAC1,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,NAC1,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,NAC2,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,NAC1,Coffee House,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Coffee House,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,NAC2,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,NAC1,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,NAC2,Restaurant(<20),2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,NAC1,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,NAC2,Carry out & Take away,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,NAC1,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
Home,Alone,Sunny,55,6PM,BCA1,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,BAC2,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,BAC1,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,CBA1,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,55,7AM,CBA2,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,BAC2,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0
Work,Alone,Sunny,80,7AM,BCA1,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,BAC1,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,BAC2,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,2PM,NAC1,Restaurant(<20),1d,Female,26,Married partner,1,Some college; no degree,Unemployed,$62500 - $74999,NA,never,less1,gt8,4~8,never,1,0,0,0,1,1
